sim,sourceX,sourceY,targetX,targetY
0.0583,2012-2016,161,2013-2017,1046
0.0584,2012-2016,710,2013-2017,727
0.0585,2011-2015,142,2012-2016,2
0.0585,2011-2015,161,2012-2016,1046
0.0585,2011-2015,710,2012-2016,1046
0.0586,2013-2017,2276,2014-2018,727
0.0587,2010-2014,727,2011-2015,2276
0.0588,2012-2016,2,2013-2017,142
0.0588,2013-2017,161,2014-2018,1046
0.0588,2010-2014,254,2011-2015,469
0.0588,2012-2016,254,2013-2017,710
0.0588,2012-2016,727,2013-2017,2276
0.0588,2010-2014,2276,2011-2015,727
0.0589,2013-2017,727,2014-2018,710
0.059,2013-2017,1046,2014-2018,161
0.0592,2010-2014,161,2011-2015,1046
0.0592,2011-2015,1046,2012-2016,161
0.0593,2010-2014,142,2011-2015,2
0.0594,2013-2017,1460,2014-2018,60
0.0597,2011-2015,254,2012-2016,710
0.0598,2010-2014,60,2011-2015,1460
0.0598,2011-2015,710,2012-2016,254
0.0598,2012-2016,1460,2013-2017,60
0.06,2012-2016,60,2013-2017,1460
0.0601,2011-2015,2,2012-2016,142
0.0602,2013-2017,2,2014-2018,1046
0.0604,2011-2015,710,2012-2016,727
0.0611,2012-2016,1046,2013-2017,161
0.0616,2010-2014,710,2011-2015,254
0.0618,2011-2015,60,2012-2016,1460
0.062,2013-2017,581,2014-2018,1460
0.0623,2013-2017,1046,2014-2018,2
0.0624,2010-2014,254,2011-2015,710
0.0627,2010-2014,1460,2011-2015,581
0.0634,2010-2014,1460,2011-2015,353
0.0636,2011-2015,1460,2012-2016,581
0.0637,2012-2016,1046,2013-2017,2
0.064,2013-2017,254,2014-2018,921
0.0645,2010-2014,2,2011-2015,142
0.0645,2013-2017,353,2014-2018,1460
0.0648,2010-2014,1046,2011-2015,2
0.0653,2010-2014,921,2011-2015,254
0.0654,2012-2016,581,2013-2017,1460
0.0657,2011-2015,1460,2012-2016,353
0.0658,2013-2017,60,2014-2018,921
0.0658,2011-2015,1046,2012-2016,2
0.0665,2013-2017,1460,2014-2018,581
0.0671,2010-2014,581,2011-2015,1460
0.0673,2012-2016,1460,2013-2017,581
0.0674,2013-2017,1460,2014-2018,353
0.0675,2013-2017,60,2014-2018,353
0.0676,2011-2015,921,2012-2016,254
0.0677,2012-2016,1460,2013-2017,353
0.0682,2010-2014,353,2011-2015,1460
0.0682,2012-2016,353,2013-2017,1460
0.0684,2012-2016,921,2013-2017,254
0.0686,2012-2016,2,2013-2017,1046
0.0686,2013-2017,921,2014-2018,60
0.069,2011-2015,581,2012-2016,1460
0.0693,2011-2015,353,2012-2016,1460
0.0694,2013-2017,353,2014-2018,60
0.07,2012-2016,921,2013-2017,60
0.0701,2010-2014,60,2011-2015,353
0.0706,2010-2014,353,2011-2015,60
0.0707,2012-2016,60,2013-2017,353
0.0709,2010-2014,1290,2011-2015,161
0.071,2011-2015,60,2012-2016,353
0.0711,2013-2017,161,2014-2018,1290
0.0712,2011-2015,1290,2012-2016,161
0.0713,2012-2016,353,2013-2017,60
0.0713,2010-2014,921,2011-2015,60
0.0715,2011-2015,353,2012-2016,60
0.0715,2012-2016,1290,2013-2017,161
0.0717,2012-2016,60,2013-2017,921
0.072,2011-2015,60,2012-2016,921
0.0722,2011-2015,921,2012-2016,60
0.0727,2011-2015,2,2012-2016,1046
0.0729,2012-2016,254,2013-2017,921
0.0737,2013-2017,921,2014-2018,254
0.0738,2011-2015,254,2012-2016,921
0.0739,2010-2014,60,2011-2015,921
0.0743,2010-2014,2,2011-2015,1046
0.0743,2013-2017,581,2014-2018,353
0.0745,2010-2014,254,2011-2015,921
0.0749,2011-2015,161,2012-2016,1290
0.0756,2010-2014,60,2011-2015,254
0.076,2013-2017,254,2014-2018,60
0.0762,2011-2015,60,2012-2016,254
0.0762,2013-2017,353,2014-2018,581
0.0768,2010-2014,161,2011-2015,1290
0.0768,2012-2016,161,2013-2017,1290
0.0768,2012-2016,353,2013-2017,581
0.0772,2013-2017,1290,2014-2018,161
0.0775,2011-2015,353,2012-2016,581
0.0778,2012-2016,60,2013-2017,254
0.0781,2010-2014,353,2011-2015,581
0.0794,2012-2016,581,2013-2017,353
0.0795,2010-2014,581,2011-2015,353
0.0802,2011-2015,581,2012-2016,353
0.0811,2011-2015,254,2012-2016,60
0.0812,2010-2014,254,2011-2015,60
0.0812,2012-2016,254,2013-2017,60
0.0831,2013-2017,60,2014-2018,254
0.0864,2013-2017,254,2014-2018,581
0.0895,2010-2014,2,2011-2015,710
0.09,2011-2015,581,2012-2016,254
0.0905,2013-2017,710,2014-2018,2
0.0911,2012-2016,581,2013-2017,254
0.0916,2010-2014,710,2011-2015,2
0.0926,2012-2016,254,2013-2017,581
0.0928,2010-2014,581,2011-2015,254
0.093,2011-2015,2,2012-2016,710
0.0933,2013-2017,581,2014-2018,254
0.0938,2011-2015,710,2012-2016,2
0.0939,2012-2016,710,2013-2017,2
0.0942,2013-2017,2,2014-2018,710
0.0953,2012-2016,2,2013-2017,710
0.0963,2013-2017,581,2014-2018,921
0.0972,2011-2015,254,2012-2016,581
0.0973,2010-2014,254,2011-2015,581
0.0986,2010-2014,921,2011-2015,581
0.0998,2013-2017,921,2014-2018,581
0.1001,2012-2016,921,2013-2017,581
0.1012,2011-2015,921,2012-2016,581
0.1029,2012-2016,581,2013-2017,921
0.1033,2011-2015,581,2012-2016,921
0.1049,2010-2014,581,2011-2015,921
0.1067,2013-2017,142,2014-2018,1046
0.1068,2013-2017,1046,2014-2018,142
0.1103,2012-2016,1046,2013-2017,142
0.1115,2013-2017,60,2014-2018,581
0.112,2011-2015,1046,2012-2016,142
0.1134,2013-2017,581,2014-2018,60
0.1135,2010-2014,1046,2011-2015,142
0.1136,2012-2016,142,2013-2017,1046
0.1162,2011-2015,142,2012-2016,1046
0.118,2012-2016,60,2013-2017,581
0.1185,2010-2014,142,2011-2015,1046
0.1191,2012-2016,581,2013-2017,60
0.1197,2011-2015,60,2012-2016,581
0.1218,2010-2014,60,2011-2015,581
0.1228,2011-2015,581,2012-2016,60
0.1233,2010-2014,581,2011-2015,60
0.6709,2010-2014,2276,2011-2015,2276
0.6968,2012-2016,2276,2013-2017,2276
0.6994,2010-2014,648,2011-2015,648
0.7027,2010-2014,1290,2011-2015,1290
0.7062,2011-2015,1290,2012-2016,1290
0.7083,2010-2014,107,2011-2015,107
0.7122,2012-2016,107,2013-2017,107
0.7141,2010-2014,1460,2011-2015,1460
0.718,2010-2014,921,2011-2015,921
0.7235,2010-2014,2,2011-2015,2
0.7251,2011-2015,2276,2012-2016,2276
0.7277,2011-2015,727,2012-2016,727
0.7286,2011-2015,648,2012-2016,648
0.7305,2011-2015,1095,2012-2016,1095
