sim,sourceX,sourceY,targetX,targetY
0.0637,2012-2016,1046,2013-2017,2
0.0143,2012-2016,1460,2013-2017,2
0.0298,2012-2016,2276,2013-2017,2
0.0102,2012-2016,2,2013-2017,23
0.7776,2012-2016,23,2013-2017,23
0.0026,2012-2016,142,2013-2017,23
0.0657,2012-2016,353,2013-2017,23
0.0429,2012-2016,659,2013-2017,23
0.0067,2012-2016,710,2013-2017,23
0.0595,2012-2016,921,2013-2017,23
0.0044,2012-2016,1046,2013-2017,23
0.0448,2012-2016,1460,2013-2017,23
0.0041,2012-2016,2276,2013-2017,23
0.0588,2012-2016,2,2013-2017,142
0.0027,2012-2016,23,2013-2017,142
0.7858,2012-2016,142,2013-2017,142
0.0127,2012-2016,353,2013-2017,142
0.0051,2012-2016,659,2013-2017,142
0.0421,2012-2016,710,2013-2017,142
0.0149,2012-2016,921,2013-2017,142
0.1103,2012-2016,1046,2013-2017,142
0.0063,2012-2016,1460,2013-2017,142
0.031,2012-2016,2276,2013-2017,142
0.027,2012-2016,2,2013-2017,353
0.0659,2012-2016,23,2013-2017,353
0.0125,2012-2016,142,2013-2017,353
0.7389,2012-2016,353,2013-2017,353
0.0482,2012-2016,659,2013-2017,353
0.0301,2012-2016,710,2013-2017,353
0.0526,2012-2016,921,2013-2017,353
0.0169,2012-2016,1046,2013-2017,353
0.0677,2012-2016,1460,2013-2017,353
0.0216,2012-2016,2276,2013-2017,353
0.0154,2012-2016,2,2013-2017,659
0.0453,2012-2016,23,2013-2017,659
0.0056,2012-2016,142,2013-2017,659
0.0517,2012-2016,353,2013-2017,659
0.7473,2012-2016,659,2013-2017,659
0.0098,2012-2016,710,2013-2017,659
0.0604,2012-2016,921,2013-2017,659
0.0079,2012-2016,1046,2013-2017,659
0.0556,2012-2016,1460,2013-2017,659
0.009,2012-2016,2276,2013-2017,659
0.0953,2012-2016,2,2013-2017,710
0.0067,2012-2016,23,2013-2017,710
0.0403,2012-2016,142,2013-2017,710
0.0298,2012-2016,353,2013-2017,710
0.009,2012-2016,659,2013-2017,710
0.741,2012-2016,710,2013-2017,710
0.0257,2012-2016,921,2013-2017,710
0.0544,2012-2016,1046,2013-2017,710
0.0124,2012-2016,1460,2013-2017,710
0.0438,2012-2016,2276,2013-2017,710
0.0341,2012-2016,2,2013-2017,921
0.06,2012-2016,23,2013-2017,921
0.0155,2012-2016,142,2013-2017,921
0.0554,2012-2016,353,2013-2017,921
0.0589,2012-2016,659,2013-2017,921
0.0273,2012-2016,710,2013-2017,921
0.7601,2012-2016,921,2013-2017,921
0.0225,2012-2016,1046,2013-2017,921
0.0473,2012-2016,1460,2013-2017,921
0.0207,2012-2016,2276,2013-2017,921
0.0686,2012-2016,2,2013-2017,1046
0.0043,2012-2016,23,2013-2017,1046
0.1136,2012-2016,142,2013-2017,1046
0.0163,2012-2016,353,2013-2017,1046
0.0071,2012-2016,659,2013-2017,1046
0.0581,2012-2016,710,2013-2017,1046
0.021,2012-2016,921,2013-2017,1046
0.7476,2012-2016,1046,2013-2017,1046
0.0072,2012-2016,1460,2013-2017,1046
0.0372,2012-2016,2276,2013-2017,1046
0.0148,2012-2016,2,2013-2017,1460
0.0465,2012-2016,23,2013-2017,1460
0.006,2012-2016,142,2013-2017,1460
0.0682,2012-2016,353,2013-2017,1460
0.0527,2012-2016,659,2013-2017,1460
0.0125,2012-2016,710,2013-2017,1460
0.046,2012-2016,921,2013-2017,1460
0.007,2012-2016,1046,2013-2017,1460
0.7662,2012-2016,1460,2013-2017,1460
0.0173,2012-2016,2276,2013-2017,1460
0.033,2012-2016,2,2013-2017,2276
0.0051,2012-2016,23,2013-2017,2276
0.0338,2012-2016,142,2013-2017,2276
0.0248,2012-2016,353,2013-2017,2276
0.0092,2012-2016,659,2013-2017,2276
0.0484,2012-2016,710,2013-2017,2276
0.0213,2012-2016,921,2013-2017,2276
0.038,2012-2016,1046,2013-2017,2276
0.0192,2012-2016,1460,2013-2017,2276
0.6968,2012-2016,2276,2013-2017,2276
0.8934,2013-2017,2,2014-2018,2
0.0105,2013-2017,23,2014-2018,2
0.0545,2013-2017,142,2014-2018,2
0.0251,2013-2017,353,2014-2018,2
0.0143,2013-2017,659,2014-2018,2
0.0905,2013-2017,710,2014-2018,2
0.0324,2013-2017,921,2014-2018,2
0.0623,2013-2017,1046,2014-2018,2
0.0135,2013-2017,1460,2014-2018,2
0.0308,2013-2017,2276,2014-2018,2
0.0097,2013-2017,2,2014-2018,23
0.9032,2013-2017,23,2014-2018,23
0.0023,2013-2017,142,2014-2018,23
0.064,2013-2017,353,2014-2018,23
0.0418,2013-2017,659,2014-2018,23
0.0062,2013-2017,710,2014-2018,23
0.0577,2013-2017,921,2014-2018,23
0.004,2013-2017,1046,2014-2018,23
0.0432,2013-2017,1460,2014-2018,23
0.005,2013-2017,2276,2014-2018,23
0.0513,2013-2017,2,2014-2018,142
0.0024,2013-2017,23,2014-2018,142
0.848,2013-2017,142,2014-2018,142
0.0119,2013-2017,353,2014-2018,142
0.0053,2013-2017,659,2014-2018,142
0.0371,2013-2017,710,2014-2018,142
0.015,2013-2017,921,2014-2018,142
0.1068,2013-2017,1046,2014-2018,142
0.0055,2013-2017,1460,2014-2018,142
0.0324,2013-2017,2276,2014-2018,142
0.0245,2013-2017,2,2014-2018,353
0.0652,2013-2017,23,2014-2018,353
0.0123,2013-2017,142,2014-2018,353
0.887,2013-2017,353,2014-2018,353
0.0484,2013-2017,659,2014-2018,353
0.0285,2013-2017,710,2014-2018,353
0.0516,2013-2017,921,2014-2018,353
0.0156,2013-2017,1046,2014-2018,353
0.0674,2013-2017,1460,2014-2018,353
0.0255,2013-2017,2276,2014-2018,353
0.0131,2013-2017,2,2014-2018,659
0.0407,2013-2017,23,2014-2018,659
0.0052,2013-2017,142,2014-2018,659
0.046,2013-2017,353,2014-2018,659
0.8944,2013-2017,659,2014-2018,659
0.0087,2013-2017,710,2014-2018,659
0.0551,2013-2017,921,2014-2018,659
0.007,2013-2017,1046,2014-2018,659
0.0514,2013-2017,1460,2014-2018,659
0.0096,2013-2017,2276,2014-2018,659
0.0942,2013-2017,2,2014-2018,710
0.0065,2013-2017,23,2014-2018,710
0.041,2013-2017,142,2014-2018,710
0.0299,2013-2017,353,2014-2018,710
0.0097,2013-2017,659,2014-2018,710
0.8764,2013-2017,710,2014-2018,710
0.0253,2013-2017,921,2014-2018,710
0.0573,2013-2017,1046,2014-2018,710
0.0115,2013-2017,1460,2014-2018,710
0.0488,2013-2017,2276,2014-2018,710
0.0303,2013-2017,2,2014-2018,921
0.0591,2013-2017,23,2014-2018,921
0.0141,2013-2017,142,2014-2018,921
0.0516,2013-2017,353,2014-2018,921
0.0573,2013-2017,659,2014-2018,921
0.0226,2013-2017,710,2014-2018,921
0.8811,2013-2017,921,2014-2018,921
0.0193,2013-2017,1046,2014-2018,921
0.0452,2013-2017,1460,2014-2018,921
0.0206,2013-2017,2276,2014-2018,921
0.0602,2013-2017,2,2014-2018,1046
0.0041,2013-2017,23,2014-2018,1046
0.1067,2013-2017,142,2014-2018,1046
0.0153,2013-2017,353,2014-2018,1046
0.0073,2013-2017,659,2014-2018,1046
0.0528,2013-2017,710,2014-2018,1046
0.0208,2013-2017,921,2014-2018,1046
0.8955,2013-2017,1046,2014-2018,1046
0.0063,2013-2017,1460,2014-2018,1046
0.0371,2013-2017,2276,2014-2018,1046
0.0126,2013-2017,2,2014-2018,1460
0.0429,2013-2017,23,2014-2018,1460
0.0055,2013-2017,142,2014-2018,1460
0.0645,2013-2017,353,2014-2018,1460
0.0518,2013-2017,659,2014-2018,1460
0.0106,2013-2017,710,2014-2018,1460
0.0434,2013-2017,921,2014-2018,1460
0.0064,2013-2017,1046,2014-2018,1460
0.8906,2013-2017,1460,2014-2018,1460
0.0182,2013-2017,2276,2014-2018,1460
0.0284,2013-2017,2,2014-2018,2276
0.0048,2013-2017,23,2014-2018,2276
0.0304,2013-2017,142,2014-2018,2276
0.0229,2013-2017,353,2014-2018,2276
0.0098,2013-2017,659,2014-2018,2276
0.0429,2013-2017,710,2014-2018,2276
0.02,2013-2017,921,2014-2018,2276
0.035,2013-2017,1046,2014-2018,2276
0.0185,2013-2017,1460,2014-2018,2276
0.8779,2013-2017,2276,2014-2018,2276
